,For_0,For_1
962,9.769559,1.5571469
963,3.0272179,1.9299188
964,5.901767,10.515247
965,14.896951,2.482022
966,12.677746,5.1959405
967,2.063927,10.785147
968,3.3488276,6.8195205
969,10.285481,8.82098
970,3.4580288,6.1268272
971,3.789465,7.524879
972,3.121091,9.121142
973,11.697573,10.114901
974,3.8376722,7.9917226
975,2.8455174,6.160512
976,2.9948537,6.9641733
977,3.9390779,12.135887
978,2.0190513,10.538303
979,13.816772,4.6101704
980,3.532948,2.388824
981,15.944777,2.3421805
982,15.346414,3.744863
983,11.4611225,6.49796
984,2.1769202,11.711243
985,15.296518,2.151288
986,2.7529416,6.7841463
987,3.9387937,7.5037127
988,3.326314,8.11319
989,7.675375,9.50472
990,3.262563,8.18525
991,11.247065,8.389154
992,3.957137,11.210881
993,3.5047567,7.4689384
994,4.489326,9.454642
995,2.7588172,14.261866
996,12.752348,5.8883724
997,3.7753108,7.721957
998,3.1155,10.006269
999,16.051743,5.995834
1000,12.790134,5.443507
1001,3.5281553,7.0014334
1002,3.9918475,6.5783715
1003,3.6050534,6.204543
1004,1.3891206,13.75041
1005,8.826771,10.493972
1006,3.4014392,8.014538
1007,13.757456,3.110701
1008,2.567757,5.284749
1009,3.6307735,7.9329767
1010,9.821808,6.7117095
1011,1.9312146,12.726158
1012,14.12188,6.8107567
1013,2.6382363,6.761855
1014,14.569851,2.501906
1015,14.484056,6.1780233
1016,9.501692,7.5050955
1017,10.829416,3.1705515
1018,9.324654,7.0760655
1019,3.7737756,4.457324
1020,10.008865,6.212291
1021,7.807526,11.743753
1022,1.596486,13.657909
1023,3.1527944,7.198227
1024,12.095803,2.3511953
1025,10.89147,7.851244
1026,12.841651,5.0505857
1027,3.475904,11.36615
1028,12.265087,3.9363885
1029,13.750561,5.1243186
1030,9.711352,10.566828
1031,10.024731,7.484087
1032,12.465863,7.02211
1033,3.1102629,7.6007624
1034,10.600449,4.7147484
1035,1.3516251,10.720612
1036,12.210137,3.7027793
1037,4.0834694,4.030259
1038,7.410477,11.642229
1039,16.403591,2.5914593
1040,15.9385605,1.7676295
1041,1.6594143,11.823524
1042,14.187117,4.863919
1043,3.2200296,14.011742
1044,4.2108974,2.5270438
1045,3.5950005,9.263507
1046,11.3840275,5.2965126
1047,7.893181,6.112313
1048,3.1906438,8.839787
1049,14.394526,5.8216686
1050,2.9178002,6.207776
1051,14.925659,2.9198265
1052,13.593414,3.2183778
1053,14.77771,3.9056907
1054,4.3350525,12.089972
1055,5.4497375,12.828051
1056,12.49531,6.780857
1057,3.237787,13.285385
1058,6.815378,14.537661
1059,3.591364,7.629854
1060,4.3632116,13.519843
1061,3.6559582,10.18409
1062,9.294735,11.964943
1063,13.476,4.8025684
1064,8.302052,9.582888
1065,12.056276,5.5371637
1066,15.229155,2.326672
1067,3.174577,11.274746
1068,11.292729,9.603242
